1352,1108,1444,1204
1628,1108,1720,1204
1904,1108,1996,1204
2180,1108,2272,1204
2456,1108,2548,1204
2732,1108,2824,1204
1352,1388,1444,1484
1628,1388,1720,1484
1904,1388,1996,1484
2180,1388,2272,1484
2456,1388,2548,1484
2732,1388,2824,1484
1352,1668,1444,1764
1628,1668,1720,1764
1904,1668,1996,1764
2180,1668,2272,1764
2456,1668,2548,1764
2732,1668,2824,1764
1352,1948,1444,2044
1628,1948,1720,2044
1904,1948,1996,2044
2180,1948,2272,2044
2456,1948,2548,2044
2732,1948,2824,2044
